Date,TTL Spend,SEM,BZ,____,___,2022 GMV,2023 GMV
20230421,33068.74,3673.02,21918.00,5056.04,2421.68,390300.00,659545.00
20230422,32501.57,3877.41,21918.00,4230.25,2475.91,322800.00,604745.00
20230423,33500.88,4007.79,21918.00,4325.55,3249.54,335100.00,560660.00
20230424,31663.15,4859.72,21918.00,3118.19,1767.24,368250.00,546870.00
20230425,27891.53,4289.45,21918.00,1682.50,1.58,502900.00,555885.00
20230426,27994.11,3720.88,21918.00,2355.23,0.00,441700.00,497700.00
20230427,27118.69,3637.44,21918.00,1563.25,0.00,288700.00,395095.00
20230428,29640.94,2972.56,21918.00,1740.10,3010.28,439100.00,528345.00
20230429,30515.39,3256.26,21918.00,2088.96,3252.17,199980.00,556380.00
20230430,30219.18,3033.58,21918.00,2022.63,3244.97,585600.00,384530.00
20230501,30126.41,3014.13,21918.00,2118.11,3076.17,347600.00,266565.00
20230502,29321.77,2497.27,21918.00,2233.22,2673.28,377200.00,517880.00
20230503,29293.39,2600.05,21918.00,2111.39,2663.95,520280.00,616970.00
20230504,29428.51,2568.23,21918.00,2228.53,2713.75,532900.00,633425.00
20230505,28833.18,2419.68,21918.00,1800.11,2695.39,591800.00,623275.00
20230506,28634.48,2329.01,21918.00,1665.63,2721.84,578500.00,625260.00
20230507,28724.52,2393.94,21918.00,1651.71,2760.87,572000.00,778000.00
20230508,28638.65,2398.13,21918.00,1574.48,2748.04,820600.00,714365.00
20230509,28934.49,2467.21,21918.00,1621.95,2927.33,459800.00,696470.00
20230510,30006.79,2646.98,21918.00,1959.07,3482.74,584300.00,898095.00
20230511,31901.55,3269.09,21918.00,2197.14,4517.32,742700.00,1179770.00
20230512,32326.72,2809.48,21918.00,1879.91,5719.33,650400.00,566995.00
20230513,32797.10,3008.98,21918.00,2006.81,5863.31,676500.00,902545.00
20230514,33293.00,2844.67,21918.00,2314.70,6215.63,615080.00,728930.00
20230515,32677.57,2902.32,21918.00,1805.96,6051.29,797980.00,1000365.00
20230516,34053.21,2927.26,21918.00,2845.27,6362.68,1056000.00,1282625.00
20230517,35129.11,3311.83,21918.00,2564.43,7334.85,727180.00,1351805.00
