month,quantity,product_real_price,service_score,real_disp_pers_inc,product_stores,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
5-Feb,40415305,0.564579,2207,9190.1,686.9054,0,1,0,0,0,0,0,0,0,0,0,0
5-Mar,52544001,0.560363,1864,9183.5,688.2814,0,0,1,0,0,0,0,0,0,0,0,0
5-Apr,56089039,0.57842,2061,9206.1,687.4706,0,0,0,1,0,0,0,0,0,0,0,0
5-May,50559014,0.596748,2025,9253.6,689.1815,0,0,0,0,1,0,0,0,0,0,0,0
5-Jun,53225857,0.595003,2068,9299.9,692.9923,0,0,0,0,0,1,0,0,0,0,0,0
5-Jul,49423136,0.58975,2054,9322.9,692.3075,0,0,0,0,0,0,1,0,0,0,0,0
5-Aug,56152897,0.58517,2095,9328.3,692.6835,0,0,0,0,0,0,0,1,0,0,0,0
5-Sep,54249937,0.585492,2151,9273.7,693.2031,0,0,0,0,0,0,0,0,1,0,0,0
5-Oct,43868678,0.566283,2065,9300.1,696.4139,0,0,0,0,0,0,0,0,0,1,0,0
5-Nov,44498684,0.573497,2147,9365.8,696.7292,0,0,0,0,0,0,0,0,0,0,1,0
5-Dec,36677773,0.555555,1994,9412,697.9792,0,0,0,0,0,0,0,0,0,0,0,1
6-Jan,41730693,0.551341,2273,9489.5,700.7488,1,0,0,0,0,0,0,0,0,0,0,0
6-Feb,52057596,0.561184,2119,9541.4,700.8728,0,1,0,0,0,0,0,0,0,0,0,0
6-Mar,49265993,0.579551,1969,9572.9,704.0836,0,0,1,0,0,0,0,0,0,0,0,0
6-Apr,51518406,0.605622,1821,9600,702.5228,0,0,0,1,0,0,0,0,0,0,0,0
6-May,54596855,0.590638,1942,9606.9,701.8752,0,0,0,0,1,0,0,0,0,0,0,0
6-Jun,53487768,0.593681,1802,9650.4,701.334,0,0,0,0,0,1,0,0,0,0,0,0
6-Jul,50158407,0.596878,1737,9641.8,701.834,0,0,0,0,0,0,1,0,0,0,0,0
6-Aug,56579499,0.591806,1650,9649.5,702.9992,0,0,0,0,0,0,0,1,0,0,0,0
6-Sep,47232631,0.59706,1720,9704.6,703.2296,0,0,0,0,0,0,0,0,1,0,0,0
6-Oct,49488167,0.593792,1491,9764.5,702.5449,0,0,0,0,0,0,0,0,0,1,0,0
6-Nov,44466340,0.588453,1570,9787.3,701.0037,0,0,0,0,0,0,0,0,0,0,1,0
6-Dec,37070248,0.578581,1649,9824.4,693.6648,0,0,0,0,0,0,0,0,0,0,0,1
7-Jan,42823841,0.575767,1409,9817.7,694.23,1,0,0,0,0,0,0,0,0,0,0,0
7-Feb,35507821,0.606091,1480,9834.8,692.6236,0,1,0,0,0,0,0,0,0,0,0,0
7-Mar,49813851,0.621061,1495,9856.2,692.5453,0,0,1,0,0,0,0,0,0,0,0,0
7-Apr,49067501,0.618407,1490,9857.7,693.3997,0,0,0,1,0,0,0,0,0,0,0,0
7-May,53217581,0.625196,1415,9851.6,696.7973,0,0,0,0,1,0,0,0,0,0,0,0
7-Jun,48666774,0.619485,1448,9843.5,696.7386,0,0,0,0,0,1,0,0,0,0,0,0
7-Jul,53606561,0.616487,1354,9866.5,697.843,0,0,0,0,0,0,1,0,0,0,0,0
